"","participant","Acc","Trial","TrialIndex","RT","MDT.ability","MPT.ability","Monolingual","gmsi","pairType","musician"
"288","22",0,20,3,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
"289","23",0,1,8,2925.09,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"vowelMP","0"
"290","23",1,0,11,3105.345,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"consMP","0"
"291","23",1,13,20,1069.39,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"292","23",1,14,0,782.14,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"293","23",1,2,14,2886.09,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"consMP","0"
"294","23",1,3,3,2251.055,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"295","23",1,4,13,2199.8,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"296","23",1,5,17,1785.535,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"vowelMP","0"
"297","23",1,6,4,1257.165,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"consMP","0"
"298","23",1,7,19,1883.245,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"299","23",1,8,2,2297.605,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"300","23",1,9,6,1859.58,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"301","23",1,10,1,1733.81,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"vowelMP","0"
"302","23",1,11,7,1292.515,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"consMP","0"
"303","23",0,12,12,989.245,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"304","23",1,16,18,2672.38,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"305","23",1,17,9,2398.96,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"vowelMP","0"
"306","23",0,18,22,2377.155,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"vowelMP","0"
"307","23",0,15,21,1008.12,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"consMP","0"
"308","23",0,20,10,2478.63,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"309","23",1,21,5,824.785,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"310","23",0,22,15,3961.65,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"311","23",1,19,23,1070.03,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"312","23",1,23,16,2731.33,-1.1734220669434,-1.84618113992229,"1",-0.827860610264842,"nonMP","0"
"313","25",0,15,4,1853.16,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"consMP","1"
"314","25",0,16,18,2505.625,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"315","25",1,17,16,2577.92,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"316","25",0,0,2,0,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"317","25",0,1,0,783.225,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"318","25",1,2,9,1451.66,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"vowelMP","1"
"319","25",1,3,13,1268.28,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"320","25",0,18,5,2031.56,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"321","25",0,19,21,2003.83,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"consMP","1"
"322","25",1,20,11,1768.74,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"consMP","1"
"323","25",0,21,6,1185.96,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"324","25",0,22,22,825.48,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"vowelMP","1"
"325","25",1,23,3,776.825,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"326","25",1,10,1,953.535,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"vowelMP","1"
"327","25",1,11,8,3082.61,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"vowelMP","1"
"328","25",1,12,7,2759.605,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"consMP","1"
"329","25",1,13,20,1819.08,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"330","25",0,14,17,3111.815,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"vowelMP","1"
"331","25",1,6,23,2720.3,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"332","25",1,7,15,1508.345,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"333","25",0,4,19,2609.74,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"334","25",0,5,14,2700.22,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"consMP","1"
"335","25",0,8,12,2214.72,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"336","25",1,9,10,2603.405,-1.47933362738828,-1.00384964294873,"0",-0.240129953890208,"nonMP","1"
"337","26",1,5,6,989.765,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"338","26",1,6,21,1503.985,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"consMP","0"
"339","26",1,0,8,3099.75,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"vowelMP","0"
"340","26",1,1,3,1150.97,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"341","26",1,2,12,2021.71,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"342","26",1,3,16,1100.945,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"343","26",1,4,23,2047.19,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"344","26",1,17,22,4367.745,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"vowelMP","0"
"345","26",0,18,0,4384.33,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"nonMP","0"
"346","26",0,19,17,4255.545,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"vowelMP","0"
"347","26",1,7,9,4072.84,1.10207194319864,0.311228762882214,"0",-0.436040172681752,"vowelMP","0"
